------------------------------------ [ roc/MuonEff/muon_2016a.txt ] -----------------------------------------
Flavor   Set Member isMC  Type               Charge File                                                                            Key                 
Muon     2   0      False SingleTrigger      Minus  root/MuonEff/muon_2016a/IsoMu24_MediumID_LooseTrkIso_Minus.root                 data_s1m0           
Muon     2   1      False SingleTrigger      Minus  root/MuonEff/muon_2016a/IsoMu24_MediumID_LooseTrkIso_Minus.root                 data_s1m1           
Muon     2   0      True  SingleTrigger      Minus  root/MuonEff/muon_2016a/IsoMu24_MediumID_LooseTrkIso_Minus.root                 sim_s1m0            
Muon     2   1      True  SingleTrigger      Minus  root/MuonEff/muon_2016a/IsoMu24_MediumID_LooseTrkIso_Minus.root                 sim_s1m1            
Muon     2   0      False DoubleTriggerLeg1  Plus   root/MuonEff/muon_2016a/Mu17Leg1_MediumID_LooseTrkIso_Plus.root                 data_s1m0           
Muon     2   1      False DoubleTriggerLeg1  Plus   root/MuonEff/muon_2016a/Mu17Leg1_MediumID_LooseTrkIso_Plus.root                 data_s1m1           
Muon     2   0      True  DoubleTriggerLeg1  Plus   root/MuonEff/muon_2016a/Mu17Leg1_MediumID_LooseTrkIso_Plus.root                 sim_s1m0            
Muon     2   1      True  DoubleTriggerLeg1  Plus   root/MuonEff/muon_2016a/Mu17Leg1_MediumID_LooseTrkIso_Plus.root                 sim_s1m1            
Muon     2   0      False DoubleTriggerLeg1  Minus  root/MuonEff/muon_2016a/Mu17Leg1_MediumID_LooseTrkIso_Minus.root                data_s1m0           
Muon     2   1      False DoubleTriggerLeg1  Minus  root/MuonEff/muon_2016a/Mu17Leg1_MediumID_LooseTrkIso_Minus.root                data_s1m1           
Muon     2   0      True  DoubleTriggerLeg1  Minus  root/MuonEff/muon_2016a/Mu17Leg1_MediumID_LooseTrkIso_Minus.root                sim_s1m0            
Muon     2   1      True  DoubleTriggerLeg1  Minus  root/MuonEff/muon_2016a/Mu17Leg1_MediumID_LooseTrkIso_Minus.root                sim_s1m1            
Muon     2   0      False DoubleTriggerLeg2  Plus   root/MuonEff/muon_2016a/Mu8Leg2_MediumID_LooseTrkIso_Plus.root                  data_s1m0           
Muon     2   1      False DoubleTriggerLeg2  Plus   root/MuonEff/muon_2016a/Mu8Leg2_MediumID_LooseTrkIso_Plus.root                  data_s1m1           
Muon     2   0      True  DoubleTriggerLeg2  Plus   root/MuonEff/muon_2016a/Mu8Leg2_MediumID_LooseTrkIso_Plus.root                  sim_s1m0            
Muon     2   1      True  DoubleTriggerLeg2  Plus   root/MuonEff/muon_2016a/Mu8Leg2_MediumID_LooseTrkIso_Plus.root                  sim_s1m1            
Muon     2   0      False DoubleTriggerLeg2  Minus  root/MuonEff/muon_2016a/Mu8Leg2_MediumID_LooseTrkIso_Minus.root                 data_s1m0           
Muon     2   1      False DoubleTriggerLeg2  Minus  root/MuonEff/muon_2016a/Mu8Leg2_MediumID_LooseTrkIso_Minus.root                 data_s1m1           
Muon     2   0      True  DoubleTriggerLeg2  Minus  root/MuonEff/muon_2016a/Mu8Leg2_MediumID_LooseTrkIso_Minus.root                 sim_s1m0            
Muon     2   1      True  DoubleTriggerLeg2  Minus  root/MuonEff/muon_2016a/Mu8Leg2_MediumID_LooseTrkIso_Minus.root                 sim_s1m1            
Muon     3   0      False ID                 Plus   root/MuonEff/muon_2016a/MediumID_LooseTrkIso_Plus.root                          data_s2m0           
Muon     3   1      False ID                 Plus   root/MuonEff/muon_2016a/MediumID_LooseTrkIso_Plus.root                          data_s2m1           
Muon     3   0      True  ID                 Plus   root/MuonEff/muon_2016a/MediumID_LooseTrkIso_Plus.root                          sim_s2m0            
Muon     3   1      True  ID                 Plus   root/MuonEff/muon_2016a/MediumID_LooseTrkIso_Plus.root                          sim_s2m1            
Muon     3   0      False ID                 Minus  root/MuonEff/muon_2016a/MediumID_LooseTrkIso_Minus.root                         data_s2m0           
Muon     3   1      False ID                 Minus  root/MuonEff/muon_2016a/MediumID_LooseTrkIso_Minus.root                         data_s2m1           
Muon     3   0      True  ID                 Minus  root/MuonEff/muon_2016a/MediumID_LooseTrkIso_Minus.root                         sim_s2m0            
Muon     3   1      True  ID                 Minus  root/MuonEff/muon_2016a/MediumID_LooseTrkIso_Minus.root                         sim_s2m1            
Muon     3   0      False SingleTrigger      Plus   root/MuonEff/muon_2016a/IsoMu24_MediumID_LooseTrkIso_Plus.root                  data_s2m0           
Muon     3   1      False SingleTrigger      Plus   root/MuonEff/muon_2016a/IsoMu24_MediumID_LooseTrkIso_Plus.root                  data_s2m1           
Muon     3   0      True  SingleTrigger      Plus   root/MuonEff/muon_2016a/IsoMu24_MediumID_LooseTrkIso_Plus.root                  sim_s2m0            
Muon     3   1      True  SingleTrigger      Plus   root/MuonEff/muon_2016a/IsoMu24_MediumID_LooseTrkIso_Plus.root                  sim_s2m1            
Muon     3   0      False SingleTrigger      Minus  root/MuonEff/muon_2016a/IsoMu24_MediumID_LooseTrkIso_Minus.root                 data_s2m0           
Muon     3   1      False SingleTrigger      Minus  root/MuonEff/muon_2016a/IsoMu24_MediumID_LooseTrkIso_Minus.root                 data_s2m1           
Muon     3   0      True  SingleTrigger      Minus  root/MuonEff/muon_2016a/IsoMu24_MediumID_LooseTrkIso_Minus.root                 sim_s2m0            
Muon     3   1      True  SingleTrigger      Minus  root/MuonEff/muon_2016a/IsoMu24_MediumID_LooseTrkIso_Minus.root                 sim_s2m1            
Muon     3   0      False DoubleTriggerLeg1  Plus   root/MuonEff/muon_2016a/Mu17Leg1_MediumID_LooseTrkIso_Plus.root                 data_s2m0           
Muon     3   1      False DoubleTriggerLeg1  Plus   root/MuonEff/muon_2016a/Mu17Leg1_MediumID_LooseTrkIso_Plus.root                 data_s2m1           
Muon     3   0      True  DoubleTriggerLeg1  Plus   root/MuonEff/muon_2016a/Mu17Leg1_MediumID_LooseTrkIso_Plus.root                 sim_s2m0            
Muon     3   1      True  DoubleTriggerLeg1  Plus   root/MuonEff/muon_2016a/Mu17Leg1_MediumID_LooseTrkIso_Plus.root                 sim_s2m1            
Muon     3   0      False DoubleTriggerLeg1  Minus  root/MuonEff/muon_2016a/Mu17Leg1_MediumID_LooseTrkIso_Minus.root                data_s2m0           
Muon     3   1      False DoubleTriggerLeg1  Minus  root/MuonEff/muon_2016a/Mu17Leg1_MediumID_LooseTrkIso_Minus.root                data_s2m1           
Muon     3   0      True  DoubleTriggerLeg1  Minus  root/MuonEff/muon_2016a/Mu17Leg1_MediumID_LooseTrkIso_Minus.root                sim_s2m0            
Muon     3   1      True  DoubleTriggerLeg1  Minus  root/MuonEff/muon_2016a/Mu17Leg1_MediumID_LooseTrkIso_Minus.root                sim_s2m1            
Muon     3   0      False DoubleTriggerLeg2  Plus   root/MuonEff/muon_2016a/Mu8Leg2_MediumID_LooseTrkIso_Plus.root                  data_s2m0           
Muon     3   1      False DoubleTriggerLeg2  Plus   root/MuonEff/muon_2016a/Mu8Leg2_MediumID_LooseTrkIso_Plus.root                  data_s2m1           
Muon     3   0      True  DoubleTriggerLeg2  Plus   root/MuonEff/muon_2016a/Mu8Leg2_MediumID_LooseTrkIso_Plus.root                  sim_s2m0            
Muon     3   1      True  DoubleTriggerLeg2  Plus   root/MuonEff/muon_2016a/Mu8Leg2_MediumID_LooseTrkIso_Plus.root                  sim_s2m1            
Muon     3   0      False DoubleTriggerLeg2  Minus  root/MuonEff/muon_2016a/Mu8Leg2_MediumID_LooseTrkIso_Minus.root                 data_s2m0           
Muon     3   1      False DoubleTriggerLeg2  Minus  root/MuonEff/muon_2016a/Mu8Leg2_MediumID_LooseTrkIso_Minus.root                 data_s2m1           
Muon     3   0      True  DoubleTriggerLeg2  Minus  root/MuonEff/muon_2016a/Mu8Leg2_MediumID_LooseTrkIso_Minus.root                 sim_s2m0            
Muon     3   1      True  DoubleTriggerLeg2  Minus  root/MuonEff/muon_2016a/Mu8Leg2_MediumID_LooseTrkIso_Minus.root                 sim_s2m1            
Muon     4   0      False ID                 Plus   root/MuonEff/muon_2016a/MediumID_LooseTrkIso_Plus.root                          data_s3m0           
Muon     4   0      True  ID                 Plus   root/MuonEff/muon_2016a/MediumID_LooseTrkIso_Plus.root                          sim_s3m0            
Muon     4   0      False ID                 Minus  root/MuonEff/muon_2016a/MediumID_LooseTrkIso_Minus.root                         data_s3m0           
Muon     4   0      True  ID                 Minus  root/MuonEff/muon_2016a/MediumID_LooseTrkIso_Minus.root                         sim_s3m0            
Muon     4   0      False SingleTrigger      Plus   root/MuonEff/muon_2016a/IsoMu24_MediumID_LooseTrkIso_Plus.root                  data_s3m0           
Muon     4   0      True  SingleTrigger      Plus   root/MuonEff/muon_2016a/IsoMu24_MediumID_LooseTrkIso_Plus.root                  sim_s3m0            
Muon     4   0      False SingleTrigger      Minus  root/MuonEff/muon_2016a/IsoMu24_MediumID_LooseTrkIso_Minus.root                 data_s3m0           
Muon     4   0      True  SingleTrigger      Minus  root/MuonEff/muon_2016a/IsoMu24_MediumID_LooseTrkIso_Minus.root                 sim_s3m0            
Muon     4   0      False DoubleTriggerLeg1  Plus   root/MuonEff/muon_2016a/Mu17Leg1_MediumID_LooseTrkIso_Plus.root                 data_s3m0           
Muon     4   0      True  DoubleTriggerLeg1  Plus   root/MuonEff/muon_2016a/Mu17Leg1_MediumID_LooseTrkIso_Plus.root                 sim_s3m0            
Muon     4   0      False DoubleTriggerLeg1  Minus  root/MuonEff/muon_2016a/Mu17Leg1_MediumID_LooseTrkIso_Minus.root                data_s3m0           
Muon     4   0      True  DoubleTriggerLeg1  Minus  root/MuonEff/muon_2016a/Mu17Leg1_MediumID_LooseTrkIso_Minus.root                sim_s3m0            
Muon     4   0      False DoubleTriggerLeg2  Plus   root/MuonEff/muon_2016a/Mu8Leg2_MediumID_LooseTrkIso_Plus.root                  data_s3m0           
Muon     4   0      True  DoubleTriggerLeg2  Plus   root/MuonEff/muon_2016a/Mu8Leg2_MediumID_LooseTrkIso_Plus.root                  sim_s3m0            
Muon     4   0      False DoubleTriggerLeg2  Minus  root/MuonEff/muon_2016a/Mu8Leg2_MediumID_LooseTrkIso_Minus.root                 data_s3m0           
Muon     4   0      True  DoubleTriggerLeg2  Minus  root/MuonEff/muon_2016a/Mu8Leg2_MediumID_LooseTrkIso_Minus.root                 sim_s3m0            
Muon     5   0      False ID                 Plus   root/MuonEff/muon_2016a/MediumID_LooseTrkIso_Plus.root                          data_s4m0           
Muon     5   1      False ID                 Plus   root/MuonEff/muon_2016a/MediumID_LooseTrkIso_Plus.root                          data_s4m1           
Muon     5   0      True  ID                 Plus   root/MuonEff/muon_2016a/MediumID_LooseTrkIso_Plus.root                          sim_s4m0            
Muon     5   1      True  ID                 Plus   root/MuonEff/muon_2016a/MediumID_LooseTrkIso_Plus.root                          sim_s4m1            
Muon     5   0      False ID                 Minus  root/MuonEff/muon_2016a/MediumID_LooseTrkIso_Minus.root                         data_s4m0           
Muon     5   1      False ID                 Minus  root/MuonEff/muon_2016a/MediumID_LooseTrkIso_Minus.root                         data_s4m1           
Muon     5   0      True  ID                 Minus  root/MuonEff/muon_2016a/MediumID_LooseTrkIso_Minus.root                         sim_s4m0            
Muon     5   1      True  ID                 Minus  root/MuonEff/muon_2016a/MediumID_LooseTrkIso_Minus.root                         sim_s4m1            
------------------------------------ [ roc/MuonEff/muon_2016b.txt ] -----------------------------------------
Flavor   Set Member isMC  Type               Charge File                                                                            Key                 
Muon     0   0      False ID                 Plus   root/MuonEff/muon_2016b/MediumID_LooseTrkIso_Plus.root                          data                
Muon     0   0      True  ID                 Plus   root/MuonEff/muon_2016b/MediumID_LooseTrkIso_Plus.root                          sim                 
Muon     0   0      False ID                 Minus  root/MuonEff/muon_2016b/MediumID_LooseTrkIso_Minus.root                         data                
Muon     0   0      True  ID                 Minus  root/MuonEff/muon_2016b/MediumID_LooseTrkIso_Minus.root                         sim                 
Muon     0   0      False SingleTrigger      Plus   root/MuonEff/muon_2016b/IsoMu24_MediumID_LooseTrkIso_Plus.root                  data                
Muon     0   0      True  SingleTrigger      Plus   root/MuonEff/muon_2016b/IsoMu24_MediumID_LooseTrkIso_Plus.root                  sim                 
Muon     0   0      False SingleTrigger      Minus  root/MuonEff/muon_2016b/IsoMu24_MediumID_LooseTrkIso_Minus.root                 data                
Muon     0   0      True  SingleTrigger      Minus  root/MuonEff/muon_2016b/IsoMu24_MediumID_LooseTrkIso_Minus.root                 sim                 
Muon     0   0      False DoubleTriggerLeg1  Plus   root/MuonEff/muon_2016b/Mu17Leg1_MediumID_LooseTrkIso_Plus.root                 data                
Muon     0   0      True  DoubleTriggerLeg1  Plus   root/MuonEff/muon_2016b/Mu17Leg1_MediumID_LooseTrkIso_Plus.root                 sim                 
Muon     0   0      False DoubleTriggerLeg1  Minus  root/MuonEff/muon_2016b/Mu17Leg1_MediumID_LooseTrkIso_Minus.root                data                
Muon     0   0      True  DoubleTriggerLeg1  Minus  root/MuonEff/muon_2016b/Mu17Leg1_MediumID_LooseTrkIso_Minus.root                sim                 
Muon     0   0      False DoubleTriggerLeg2  Plus   root/MuonEff/muon_2016b/Mu8Leg2_MediumID_LooseTrkIso_Plus.root                  data                
Muon     0   0      True  DoubleTriggerLeg2  Plus   root/MuonEff/muon_2016b/Mu8Leg2_MediumID_LooseTrkIso_Plus.root                  sim                 
Muon     0   0      False DoubleTriggerLeg2  Minus  root/MuonEff/muon_2016b/Mu8Leg2_MediumID_LooseTrkIso_Minus.root                 data                
Muon     0   0      True  DoubleTriggerLeg2  Minus  root/MuonEff/muon_2016b/Mu8Leg2_MediumID_LooseTrkIso_Minus.root                 sim                 
Muon     1   -1     False ID                 Plus   root/MuonEff/muon_2016b/MediumID_LooseTrkIso_Plus.root                          data_s0m0           
Muon     1   -1     True  ID                 Plus   root/MuonEff/muon_2016b/MediumID_LooseTrkIso_Plus.root                          sim_s0m0            
Muon     1   -1     False ID                 Minus  root/MuonEff/muon_2016b/MediumID_LooseTrkIso_Minus.root                         data_s0m0           
Muon     1   -1     True  ID                 Minus  root/MuonEff/muon_2016b/MediumID_LooseTrkIso_Minus.root                         sim_s0m0            
Muon     1   -1     False SingleTrigger      Plus   root/MuonEff/muon_2016b/IsoMu24_MediumID_LooseTrkIso_Plus.root                  data_s0m0           
Muon     1   -1     True  SingleTrigger      Plus   root/MuonEff/muon_2016b/IsoMu24_MediumID_LooseTrkIso_Plus.root                  sim_s0m0            
Muon     1   -1     False SingleTrigger      Minus  root/MuonEff/muon_2016b/IsoMu24_MediumID_LooseTrkIso_Minus.root                 data_s0m0           
Muon     1   -1     True  SingleTrigger      Minus  root/MuonEff/muon_2016b/IsoMu24_MediumID_LooseTrkIso_Minus.root                 sim_s0m0            
Muon     1   -1     False DoubleTriggerLeg1  Plus   root/MuonEff/muon_2016b/Mu17Leg1_MediumID_LooseTrkIso_Plus.root                 data_s0m0           
Muon     1   -1     True  DoubleTriggerLeg1  Plus   root/MuonEff/muon_2016b/Mu17Leg1_MediumID_LooseTrkIso_Plus.root                 sim_s0m0            
Muon     1   -1     False DoubleTriggerLeg1  Minus  root/MuonEff/muon_2016b/Mu17Leg1_MediumID_LooseTrkIso_Minus.root                data_s0m0           
Muon     1   -1     True  DoubleTriggerLeg1  Minus  root/MuonEff/muon_2016b/Mu17Leg1_MediumID_LooseTrkIso_Minus.root                sim_s0m0            
Muon     1   -1     False DoubleTriggerLeg2  Plus   root/MuonEff/muon_2016b/Mu8Leg2_MediumID_LooseTrkIso_Plus.root                  data_s0m0           
Muon     1   -1     True  DoubleTriggerLeg2  Plus   root/MuonEff/muon_2016b/Mu8Leg2_MediumID_LooseTrkIso_Plus.root                  sim_s0m0            
Muon     1   -1     False DoubleTriggerLeg2  Minus  root/MuonEff/muon_2016b/Mu8Leg2_MediumID_LooseTrkIso_Minus.root                 data_s0m0           
Muon     1   -1     True  DoubleTriggerLeg2  Minus  root/MuonEff/muon_2016b/Mu8Leg2_MediumID_LooseTrkIso_Minus.root                 sim_s0m0            
Muon     2   0      False ID                 Plus   root/MuonEff/muon_2016b/MediumID_LooseTrkIso_Plus.root                          data_s1m0           
Muon     2   1      False ID                 Plus   root/MuonEff/muon_2016b/MediumID_LooseTrkIso_Plus.root                          data_s1m1           
Muon     2   0      True  ID                 Plus   root/MuonEff/muon_2016b/MediumID_LooseTrkIso_Plus.root                          sim_s1m0            
Muon     2   1      True  ID                 Plus   root/MuonEff/muon_2016b/MediumID_LooseTrkIso_Plus.root                          sim_s1m1            
Muon     2   0      False ID                 Minus  root/MuonEff/muon_2016b/MediumID_LooseTrkIso_Minus.root                         data_s1m0           
Muon     2   1      False ID                 Minus  root/MuonEff/muon_2016b/MediumID_LooseTrkIso_Minus.root                         data_s1m1           
Muon     2   0      True  ID                 Minus  root/MuonEff/muon_2016b/MediumID_LooseTrkIso_Minus.root                         sim_s1m0            
Muon     2   1      True  ID                 Minus  root/MuonEff/muon_2016b/MediumID_LooseTrkIso_Minus.root                         sim_s1m1            
Muon     2   0      False SingleTrigger      Plus   root/MuonEff/muon_2016b/IsoMu24_MediumID_LooseTrkIso_Plus.root                  data_s1m0           
Muon     2   1      False SingleTrigger      Plus   root/MuonEff/muon_2016b/IsoMu24_MediumID_LooseTrkIso_Plus.root                  data_s1m1           
Muon     2   0      True  SingleTrigger      Plus   root/MuonEff/muon_2016b/IsoMu24_MediumID_LooseTrkIso_Plus.root                  sim_s1m0            
Muon     2   1      True  SingleTrigger      Plus   root/MuonEff/muon_2016b/IsoMu24_MediumID_LooseTrkIso_Plus.root                  sim_s1m1            
Muon     2   0      False SingleTrigger      Minus  root/MuonEff/muon_2016b/IsoMu24_MediumID_LooseTrkIso_Minus.root                 data_s1m0           
Muon     2   1      False SingleTrigger      Minus  root/MuonEff/muon_2016b/IsoMu24_MediumID_LooseTrkIso_Minus.root                 data_s1m1           
Muon     2   0      True  SingleTrigger      Minus  root/MuonEff/muon_2016b/IsoMu24_MediumID_LooseTrkIso_Minus.root                 sim_s1m0            
Muon     2   1      True  SingleTrigger      Minus  root/MuonEff/muon_2016b/IsoMu24_MediumID_LooseTrkIso_Minus.root                 sim_s1m1            
Muon     2   0      False DoubleTriggerLeg1  Plus   root/MuonEff/muon_2016b/Mu17Leg1_MediumID_LooseTrkIso_Plus.root                 data_s1m0           
Muon     2   1      False DoubleTriggerLeg1  Plus   root/MuonEff/muon_2016b/Mu17Leg1_MediumID_LooseTrkIso_Plus.root                 data_s1m1           
Muon     2   0      True  DoubleTriggerLeg1  Plus   root/MuonEff/muon_2016b/Mu17Leg1_MediumID_LooseTrkIso_Plus.root                 sim_s1m0            
Muon     2   1      True  DoubleTriggerLeg1  Plus   root/MuonEff/muon_2016b/Mu17Leg1_MediumID_LooseTrkIso_Plus.root                 sim_s1m1            
Muon     2   0      False DoubleTriggerLeg1  Minus  root/MuonEff/muon_2016b/Mu17Leg1_MediumID_LooseTrkIso_Minus.root                data_s1m0           
Muon     2   1      False DoubleTriggerLeg1  Minus  root/MuonEff/muon_2016b/Mu17Leg1_MediumID_LooseTrkIso_Minus.root                data_s1m1           
Muon     2   0      True  DoubleTriggerLeg1  Minus  root/MuonEff/muon_2016b/Mu17Leg1_MediumID_LooseTrkIso_Minus.root                sim_s1m0            
Muon     2   1      True  DoubleTriggerLeg1  Minus  root/MuonEff/muon_2016b/Mu17Leg1_MediumID_LooseTrkIso_Minus.root                sim_s1m1            
Muon     2   0      False DoubleTriggerLeg2  Plus   root/MuonEff/muon_2016b/Mu8Leg2_MediumID_LooseTrkIso_Plus.root                  data_s1m0           
Muon     2   1      False DoubleTriggerLeg2  Plus   root/MuonEff/muon_2016b/Mu8Leg2_MediumID_LooseTrkIso_Plus.root                  data_s1m1           
Muon     2   0      True  DoubleTriggerLeg2  Plus   root/MuonEff/muon_2016b/Mu8Leg2_MediumID_LooseTrkIso_Plus.root                  sim_s1m0            
Muon     2   1      True  DoubleTriggerLeg2  Plus   root/MuonEff/muon_2016b/Mu8Leg2_MediumID_LooseTrkIso_Plus.root                  sim_s1m1            
Muon     2   0      False DoubleTriggerLeg2  Minus  root/MuonEff/muon_2016b/Mu8Leg2_MediumID_LooseTrkIso_Minus.root                 data_s1m0           
Muon     2   1      False DoubleTriggerLeg2  Minus  root/MuonEff/muon_2016b/Mu8Leg2_MediumID_LooseTrkIso_Minus.root                 data_s1m1           
Muon     2   0      True  DoubleTriggerLeg2  Minus  root/MuonEff/muon_2016b/Mu8Leg2_MediumID_LooseTrkIso_Minus.root                 sim_s1m0            
Muon     2   1      True  DoubleTriggerLeg2  Minus  root/MuonEff/muon_2016b/Mu8Leg2_MediumID_LooseTrkIso_Minus.root                 sim_s1m1            
Muon     3   0      False ID                 Plus   root/MuonEff/muon_2016b/MediumID_LooseTrkIso_Plus.root                          data_s2m0           
Muon     3   1      False ID                 Plus   root/MuonEff/muon_2016b/MediumID_LooseTrkIso_Plus.root                          data_s2m1           
Muon     3   0      True  ID                 Plus   root/MuonEff/muon_2016b/MediumID_LooseTrkIso_Plus.root                          sim_s2m0            
Muon     3   1      True  ID                 Plus   root/MuonEff/muon_2016b/MediumID_LooseTrkIso_Plus.root                          sim_s2m1            
Muon     3   0      False ID                 Minus  root/MuonEff/muon_2016b/MediumID_LooseTrkIso_Minus.root                         data_s2m0           
Muon     3   1      False ID                 Minus  root/MuonEff/muon_2016b/MediumID_LooseTrkIso_Minus.root                         data_s2m1           
Muon     3   0      True  ID                 Minus  root/MuonEff/muon_2016b/MediumID_LooseTrkIso_Minus.root                         sim_s2m0            
